z_km,T_K,M_cm3,O2_model_cm3,N2_model_cm3,CO2_model_cm3,O3_socrates_reference_vmr,O3_socrates_reference_cm3,msis_mass_density_kg_m3,msis_N2_native_cm3,msis_O2_native_cm3,msis_O_native_cm3,msis_He_native_cm3,msis_H_native_cm3,msis_Ar_native_cm3,msis_N_native_cm3,msis_anomalous_O_native_cm3
71,217.4508056640625,1324416357368193.5,278127435047320.62,1033044758747191,536388624734.11835,1.0043842901251708e-06,1330222982.9254174,6.3613981183152646e-05,1039676310545546.2,272325914067652.81,nan,7050033123.81952,nan,12407082721870.871,nan,0
72,215.85166931152344,1143031179617352,240036547719643.91,891564320101534.62,462927627745.02753,9.6986298050378088e-07,1108583626.6724374,5.4898289818083867e-05,897815385189421.88,234498474355321.72,nan,6095498117.1199999,nan,10711224574491.492,nan,0
73,214.27980041503906,982109680044676.75,206243032809382.12,766045550434847.88,397754420418.09406,9.3652818965781461e-07,919773400.69765663,4.7166769945761189e-05,771820711689267.88,201078844817349.28,8572236.2019839995,5248211665.027072,5.185890067265244e-23,9204866706403.4922,47754.833919999997,0
74,212.9005126953125,845140419465793.88,177479488087816.72,659209527183319.25,342281869883.64648,8.2894910760483072e-07,700578396.51694214,4.0586564864497632e-05,664499369619075.62,172715279917286.16,22147573.481472,4527863508.2383356,1.6357909771613776e-11,7921219866323.8447,52026.560511999996,0
75,211.70915222167969,725989728244736.88,152457842931394.75,566271988030894.75,294025839939.11841,7.1793316833248984e-07,521212105.77558726,3.4862565371440724e-05,571112657377176.88,148068838375291.88,55970411.577344,3900983503.4869757,0.00033171343994140625,6804275481689.4561,56663.551999999996,0
76,210.67144775390625,622700330027400.12,130767069305754.02,485706257421372.12,252193633661.09705,6.2178489543369714e-07,387185659.59261566,2.990070242958609e-05,490132658421242,126728425987880.52,137356862.55411199,3357326543.159296,12.507664,5835750873153.667,61705.830399999999,0
77,209.7552490234375,533431321662553,112020577549136.12,416076430896791.38,216039685273.33395,5.3851315587977435e-07,287259784.47362047,2.5612502213334665e-05,420121774492093.5,108307885475284.12,325237505.78585601,2887252841.5948801,8527.6349439999995,4998449129102.2461,67198.054399999994,0
78,208.92984008789062,456478806536308.94,95860549372624.875,356053469098321,184873916647.20511,4.583592744855772e-07,209231294.58202472,2.1916075638728216e-05,359749086346727.12,92450051480335.938,738939392.49151993,2481835846.139904,463798.59967999998,4276447397019.6479,73189.023743999991,0
79,208.16580200195312,390290401425599.06,81960984299375.797,304426513111967.25,158067612577.36761,3.6394013606132119e-07,142042341.79826018,1.8736824131337926e-05,307801542388636.19,78829881977586.312,1603694617.427968,2132945317.920768,5192632.2380799996,3655235147076.2065,79732.752383999992,0
80,207.43473815917969,333467708439082.88,70028218772207.398,260104812582484.66,135054421917.82855,2.8897074851378571e-07,96362413.312818632,1.6007530575734563e-05,263186104914509.03,67154700165860.812,3313203538.8211198,1833250955.7227519,21754481.213439997,3121735062849.0605,86888.218624000001,0
81,206.70912170410156,284761256747209.94,59799863916914.086,222113780262823.75,115328308982.62003,2.2944458503622628e-07,65336928.388757877,1.3668144674738869e-05,224925633542694.62,57163240092167.305,6500668688.8263674,1576200921.1535358,49561062.080511995,2664256586955.8823,94720.147455999992,0
82,205.96218872070312,243065923192328.03,51043843870388.883,189591420090015.88,98441698892.892853,1.8218043823883646e-07,44281856.408105686,1.1665540114336181e-05,192155437144737.84,48624498761556.555,12096537018.499071,1355998618.9762559,77483827.265535995,2272457163269.9966,103298.90815999999,0
83,205.16810607910156,207410880707333.25,43556284948539.984,161780486951719.94,84001406686.469955,2.0043111665830353e-07,41571594.427252986,9.9530407169368118e-06,164115392546031.53,41335642666982.961,21338915797.467136,1167547802.0587521,96049460.936703995,1937242868557.021,112701.24339199999,0
84,204.30183410644531,176947023465686.44,37158874927794.148,138018678303235.42,71663544503.602997,2.5358944973162259e-07,44871898.312311932,8.4898147179046646e-06,140140216046934.03,35119342573118.816,35699645757.784065,1006388952.170496,103250258.82111999,1650655437655.1138,123009.728512,0
85,203.33953857421875,150936585896166.81,31696683038195.031,117730536999010.12,61129317287.947556,3.2084643386395497e-07,48427465.324385643,7.2403827289235778e-06,119651529346863.06,29821605279424.312,56704000782.761978,868645190.23820794,101746189.79532799,1405776743402.3076,134314.34444799999,0
86,202.25837707519531,128740326978038.5,27035468665388.086,100417455042870.03,52139832426.105591,4.0594131274847075e-07,52261017.337132312,6.1739992816001177e-06,102148087084948.12,25309128195171.156,85654584323.73555,750956845.20345592,95136025.41158399,1196610874014.4331,146710.42969600001,0
87,201.03726196289062,109806720024653.8,23059411205177.297,85649241619229.969,44471721609.984787,5.1646053687633091e-07,56710837.57656166,5.2641503316408489e-06,87197596473519.766,21467087122047.434,123311130998.21056,650427162.95167994,86235049.623551995,1017988475573.502,160302.317568,0
88,199.65658569335938,93660220126723.375,19668646226611.906,73054971698844.234,37932389151.322968,6.718037969074377e-07,62921291.500319175,4.4879889173898846e-06,74427789263692.094,18196726124669.566,169605372301.01709,564560968.81049597,76798234.722304001,865457831657.07874,175200.09216,0
89,198.09886169433594,79892070361353.375,16777334775884.209,62315814881855.633,32356288496.348114,8.7387188238802608e-07,69815433.914552495,3.825899966614088e-06,63519380472898.516,15413450977419.723,223478504304.41061,491218865.75001597,67764609.875967994,735201231735.09521,191520.01433599999,0
90,196.34893798828125,68151343755478.133,14311782188650.408,53158048129272.945,27601294220.968643,1.1367188907591264e-06,77468919.877471015,3.2610671496513532e-06,54199057898752.961,13044951198585.586,282893810566.95502,428569754.86156797,59560630.943743996,623952507797.76611,209389.060096,0
91,194.41694641113281,58130517873790.664,12207408753496.039,45341803941556.719,23542859738.88522,1.4786261723831424e-06,85953305.142372936,2.7787796170741785e-06,46227972431330.406,11028264354314.189,344994072684.92084,375008593.44486398,52319991.365631998,528859457963.16364,228913.16838399999,0
92,192.40278625488281,49549654590143.633,10405427463930.162,38648730580312.031,20067610109.008171,1.7177303407890747e-06,85112945.065108359,2.3656668872718001e-06,39389010106563.688,9306641350961.1348,406289406392.00867,329058617.393152,46015805.652991995,447338401704.70605,250099.05664,0
93,190.42082214355469,42181843262156.742,8858187085052.916,32901837744482.262,17083646521.173479,1.9011001350997729e-06,80191907.924443632,2.0109084744035499e-06,33506801018845.789,7834261690706.2969,463144328030.58484,289520255.76243198,40563831.209983997,377305867566.9729,272920.117248,0
94,188.57623291015625,35846306114378.492,7527724284019.4834,27960118769215.227,14517753976.323288,2.1040448770417212e-06,75422236.740827397,1.7058924868251779e-06,28442032646890.977,6574606744100.5361,512266006433.89026,255437744.11161599,35864088.412160002,317109117774.7251,297345.8432,0
95,186.966064453125,30396927313490.477,6383354735833,23709603304522.574,12310755561.963642,2.3286542159827711e-06,70783932.941481441,1.4436550372920465e-06,24082110601968.484,5498053468868.3125,551091239479.41064,226036444.82355198,31817130.31168,265413826248.17969,323350.95398399996,0
96,185.6815185546875,25713189805669.086,5399769859190.5078,20056288048421.887,10413841871.295979,2.5455676349492871e-06,65454663.760619178,1.2184414117655251e-06,20333835880461.5,4579990121855.582,578018416682.59839,200673371.09503999,28330600.431615997,221116031773.44205,350924.43955199997,0
97,184.81080627441406,21693965999239.922,4555732859840.3838,16921293479407.139,8786056229.6921673,2.7035438232008826e-06,58650587.777975053,1.0254050266667036e-06,17118452663495.688,3799547972367.1548,592478437696.86426,178803347.29216,25321485.1072,183282420777.22214,380070.592512,0
98,184.44305419921875,18252971450039.988,3833124004508.3975,14237317731031.191,7392453437.2661953,2.8713239057634619e-06,52410193.27571778,8.603924470662605e-07,14368127680707.035,3138707124335.4111,594845892389.89612,159955638.28838399,22716436.447232001,151107669711.65082,410821.26335999998,0
99,184.67283630371094,15315403241027.078,3216234680615.6865,11946014528001.121,6202738312.6159658,3.0495163056197841e-06,46704571.910654165,7.1978530513661099e-07,12023445522753.781,2581664297134.3257,586244962681.61841,143716266.27891201,20451256.434687998,123883847707.26297,443227.37356799998,0
100,185.60606384277344,12815680972782.109,2691293004284.2427,9996231158770.0449,5190350793.9767542,3.1901806551266033e-06,40884337.521643572,6.003978114677011e-07,10031823145549.168,2114429717128.9373,568298390295.6748,129717466.30041599,18470127.271935999,100981054860.42726,477354.328064,0
101,187.33598327636719,10697477944353.49,2246470368314.2329,8344032796595.7227,4332478567.4631634,3.1415340524013579e-06,33606491.236998968,4.9948079094974673e-07,8347718777470.7139,1724818184143.3723,542959010962.21082,117644447.44908799,16726767.960064,81847087225.896957,513335.885824,0
102,189.85218811035156,8915086815061.541,1872168231162.9236,6953767715748.002,3610610160.0999241,3.093629254674812e-06,27579973.379040077,4.1478776324765931e-07,6933829837278.6748,1402619083446.2883,512498518783.42651,107261372.39961599,15187901.939711999,66016374643.75296,551635.05868799996,0
